Area Code,Area Name,Sex,Cases,Population,Rate,Lower CL,Upper CL
E08000037,Gateshead,Females,598,"102,456",540.4,497.6,586.0
E06000006,Halton,Females,193,"66,328",298.9,258.0,344.4
E06000007,Warrington,Females,373,"105,652",339.2,305.5,375.6
E06000008,Blackburn with Darwen,Females,202,"74,616",297.7,257.7,342.1
E06000009,Blackpool,Females,320,"70,318",442.7,394.8,494.8
E06000049,Cheshire East,Females,599,"196,056",272.6,250.6,296.0
E06000050,Cheshire West and Chester,Females,518,"175,803",271.3,248.2,296.1
E08000001,Bolton,Females,500,"144,733",357.0,326.3,389.8
E08000002,Bury,Females,362,"97,258",366.1,329.2,406.0
E08000003,Manchester,Females,687,"272,462",324.7,299.0,351.9
E08000004,Oldham,Females,558,"120,116",495.2,454.9,538.2
E08000005,Rochdale,Females,379,"112,416",352.9,318.1,390.4
E08000006,Salford,Females,500,"128,112",422.2,385.4,461.5
E08000007,Stockport,Females,535,"149,573",326.1,298.7,355.3
E08000008,Tameside,Females,291,"114,863",259.8,230.6,291.5
E08000009,Trafford,Females,376,"121,276",297.4,267.8,329.5
E08000010,Wigan,Females,613,"164,684",374.6,345.4,405.6
E08000011,Knowsley,Females,370,"79,145",468.5,421.5,519.3
E08000012,Liverpool,Females,759,"249,334",324.0,300.8,348.4
E08000013,St. Helens,Females,424,"91,582",451.4,409.1,496.9
E08000014,Sefton,Females,457,"143,327",298.5,270.8,328.1
E08000015,Wirral,Females,560,"167,072",313.2,287.2,340.8
E10000006,Cumbria,Females,"1,328","253,556",499.6,472.1,528.1
E10000017,Lancashire,Females,"1,832","617,264",289.3,276.0,303.0
E06000010,"Kingston upon Hull, City of",Females,375,"128,716",310.2,279.2,343.7
E06000011,East Riding of Yorkshire,Females,403,"173,915",211.8,190.7,234.4
E06000012,North East Lincolnshire,Females,77,"81,307",89.6,70.4,112.3
E06000013,North Lincolnshire,Females,275,"87,050",308.2,272.3,347.6
E06000014,York,Females,225,"107,406",207.5,180.7,237.0
E08000016,Barnsley,Females,463,"125,065",360.9,328.6,395.6
E08000017,Doncaster,Females,382,"156,782",240.6,216.9,266.1
E08000018,Rotherham,Females,497,"134,847",364.6,333.1,398.4
E08000019,Sheffield,Females,"1,445","293,637",505.1,478.9,532.3
E08000032,Bradford,Females,580,"273,496",230.9,212.4,250.6
E08000033,Calderdale,Females,137,"107,594",122.1,102.4,144.4
E08000034,Kirklees,Females,332,"221,625",151.0,135.1,168.2
E08000035,Leeds,Females,855,"403,794",221.2,206.4,236.8
E08000036,Wakefield,Females,319,"176,951",172.2,153.8,192.3
E10000023,North Yorkshire,Females,629,"313,350",183.4,168.7,199.0
E06000015,Derby,Females,255,"129,721",198.0,174.1,224.2
E06000016,Leicester,Females,387,"176,461",258.7,232.8,286.6
E06000017,Rutland,Females,16,"19,587",69.0,38.4,113.5
E06000018,Nottingham,Females,282,"163,890",219.7,194.3,247.5
E10000007,Derbyshire,Females,777,"408,394",167.8,156.1,180.2
E10000018,Leicestershire,Females,578,"357,054",147.8,135.9,160.4
E10000019,Lincolnshire,Females,523,"388,072",129.2,118.2,141.0
E10000021,Northamptonshire,Females,531,"380,578",139.6,128.0,152.1
E10000024,Nottinghamshire,Females,642,"420,214",137.7,127.1,148.9
E06000019,"Herefordshire, County of",Females,246,"97,315",226.4,198.0,257.7
E06000020,Telford and Wrekin,Females,181,"90,599",212.1,182.2,245.4
E06000021,Stoke-on-Trent,Females,346,"127,270",283.5,254.2,315.2
E06000051,Shropshire,Females,362,"162,981",200.0,179.2,222.5
E08000025,Birmingham,Females,"1,641","576,324",325.3,309.4,341.8
E08000026,Coventry,Females,403,"182,777",246.5,222.5,272.4
E08000027,Dudley,Females,501,"163,879",285.3,260.6,311.8
E08000028,Sandwell,Females,625,"165,178",404.6,373.2,437.8
E08000029,Solihull,Females,321,"111,081",239.4,213.2,267.9
E08000030,Walsall,Females,580,"145,043",391.9,360.4,425.5
E08000031,Wolverhampton,Females,528,"132,344",400.1,366.3,436.0
E10000028,Staffordshire,Females,"1,044","442,582",213.5,200.6,227.1
E10000031,Warwickshire,Females,713,"292,426",215.5,199.8,232.2
E10000034,Worcestershire,Females,675,"302,947",198.0,183.0,213.8
E06000031,Peterborough,Females,177,"100,651",192.3,164.7,223.2
E06000032,Luton,Females,348,"104,747",366.1,328.0,407.4
E06000033,Southend-on-Sea,Females,141,"93,296",140.7,118.1,166.3
E06000034,Thurrock,Females,144,"88,301",186.3,156.7,219.9
E06000055,Bedford,Females,287,"88,071",323.5,286.9,363.5
E06000056,Central Bedfordshire,Females,296,"146,145",204.6,181.8,229.4
E10000003,Cambridgeshire,Females,492,"327,013",143.8,131.3,157.3
E10000012,Essex,Females,"1,448","760,839",176.7,167.6,186.2
E10000015,Hertfordshire,Females,"1,326","607,094",210.8,199.5,222.6
E10000020,Norfolk,Females,"1,119","462,064",229.1,215.5,243.4
E10000029,Suffolk,Females,679,"385,352",152.0,140.4,164.3
E09000001,City of London,Females,5,"4,401",n/a,n/a,n/a
E09000002,Barking and Dagenham,Females,233,"107,029",277.3,240.9,317.4
E09000003,Barnet,Females,560,"199,327",290.4,266.5,315.9
E09000004,Bexley,Females,339,"128,205",251.2,224.8,279.9
E09000005,Brent,Females,610,"161,494",445.7,410.3,483.3
E09000006,Bromley,Females,620,"172,246",345.2,318.2,373.8
